,Unnamed: 0.1,Unnamed: 0,Team Name,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,WaPS
126,441,7,SDP,RF,Fernando Tatis Jr. ,25,80,345,308,50,86,14,1,14,36,8,3,30,71,0.279,0.354,0.468,,,,,,,,,0.5549565217391305
127,452,0,SEA,C,Cal Raleigh,27,100,392,343,43,73,10,0,21,63,5,0,41,121,0.213,0.301,0.426,0.727,110.0,146.0,4.0,4.0,,,,0.5305918367346939
128,453,1,SEA,1B,Ty France ,29,88,340,300,28,67,14,0,8,31,0,1,28,83,0.223,0.312,0.35,0.662,94.0,105.0,11.0,11.0,,,,0.4323529411764705
129,455,3,SEA,SS,J.P. Crawford ,29,77,335,294,42,60,13,1,9,32,5,0,38,76,0.204,0.299,0.347,0.645,89.0,102.0,1.0,2.0,,,,0.4604328358208955
130,456,4,SEA,3B,Josh Rojas,30,93,329,293,35,69,16,2,5,20,6,4,33,69,0.235,0.315,0.355,0.67,97.0,104.0,4.0,1.0,,,,0.4553039513677811
131,458,6,SEA,CF,Julio Rodríguez ,23,100,413,384,45,101,9,0,11,37,18,4,24,112,0.263,0.315,0.372,0.687,101.0,143.0,3.0,5.0,,,,0.4301113801452784
132,459,7,SEA,RF,Mitch Haniger,33,88,317,282,31,58,11,0,9,35,0,0,33,90,0.206,0.29,0.34,0.631,85.0,96.0,7.0,1.0,,,,0.4441009463722398
133,460,8,SEA,DH,Mitch Garver,33,86,335,283,32,50,14,0,12,38,0,0,44,103,0.177,0.296,0.353,0.649,90.0,100.0,7.0,5.0,,,,0.4843432835820895
134,478,2,SFG,2B,Thairo Estrada ,28,87,346,329,41,71,14,2,9,43,1,2,10,67,0.216,0.249,0.353,0.601,72.0,116.0,8.0,5.0,0.0,,,0.3819017341040462
135,479,4,SFG,3B,Matt Chapman,31,104,447,392,72,93,27,0,15,46,11,1,50,107,0.237,0.329,0.421,0.75,116.0,165.0,8.0,4.0,0.0,,,0.5328568232662192
136,480,5,SFG,LF,Michael Conforto,31,82,307,277,29,61,17,2,10,40,0,1,27,75,0.22,0.293,0.404,0.697,100.0,112.0,6.0,2.0,0.0,,,0.4919478827361563
137,481,6,SFG,CF,Heliot Ramos,24,70,306,277,30,81,13,1,15,53,2,0,26,81,0.292,0.353,0.509,0.862,147.0,141.0,6.0,1.0,0.0,,,0.593967320261438
138,483,8,SFG,DH,Jorge Soler,32,92,387,336,56,79,22,1,12,39,1,0,44,95,0.235,0.326,0.414,0.74,114.0,139.0,9.0,3.0,0.0,,,0.5276950904392764
139,499,1,STL,1B,Paul Goldschmidt,36,100,436,401,49,91,16,0,15,40,6,0,31,125,0.227,,,,,,,,,,,
140,500,2,STL,2B,Nolan Gorman,24,95,363,328,41,67,13,0,19,50,6,1,32,138,0.204,,,,,,,,,,,
141,501,3,STL,SS,Masyn Winn,22,96,389,355,47,101,18,4,6,36,9,3,28,70,0.285,,,,,,,,,,,
142,502,4,STL,3B,Nolan Arenado,33,98,411,372,41,98,14,0,11,45,1,1,29,60,0.263,,,,,,,,,,,
143,503,5,STL,LF,Brendan Donovan,27,99,431,388,44,103,22,1,9,48,3,3,30,55,0.265,,,,,,,,,,,
144,506,8,STL,DH,Alec Burleson,25,97,378,352,45,101,14,0,18,60,7,3,15,48,0.287,,,,,,,,,,,
145,516,1,TBR,1B,Yandy Díaz,32,96,425,390,36,106,21,1,9,47,0,0,31,62,0.272,0.327,0.4,,,,,,,,,0.4729411764705882
146,518,3,TBR,SS,José Caballero,27,87,317,288,40,68,13,1,7,27,25,11,19,88,0.236,0.296,0.361,,,,,,,,,0.4209369085173501
147,519,4,TBR,3B,Isaac Paredes,25,100,425,361,41,89,19,1,16,55,0,1,51,68,0.247,0.355,0.438,,,,,,,,,0.558
148,520,6,TBR,CF,Jose Siri,28,89,322,286,40,57,13,0,14,37,10,7,24,113,0.199,0.27,0.392,,,,,,,,,0.4665341614906833
149,532,0,TEX,C,Jonah Heim,29,90,345,321,33,75,9,0,9,42,1,1,21,65,0.234,0.281,0.346,0.627,,,,,,,,0.4068695652173912
150,533,1,TEX,1B,Nathaniel Lowe,28,84,338,290,37,77,12,0,8,42,2,0,44,74,0.266,0.361,0.39,0.751,,,,,,,,0.5201775147928994
151,534,2,TEX,2B,Marcus Semien,33,103,464,418,70,103,18,2,15,53,3,2,44,62,0.246,0.319,0.407,0.726,,,,,,,,0.5018275862068965
152,535,3,TEX,SS,Corey Seager,30,92,395,346,50,94,13,0,19,49,1,0,45,70,0.272,0.359,0.474,0.833,,,,,,,,0.5879240506329113
153,536,4,TEX,3B,Josh Smith,26,98,373,319,46,90,20,1,10,43,6,1,35,75,0.282,0.38,0.445,0.825,,,,,,,,0.5388337801608579
154,537,5,TEX,LF,Wyatt Langford,22,81,335,303,34,74,15,4,5,43,9,2,28,68,0.244,0.31,0.37,0.68,,,,,,,,0.4535820895522388
155,538,6,TEX,CF,Leody Taveras,25,100,359,325,37,74,11,3,7,26,12,4,30,71,0.228,0.292,0.345,0.637,,,,,,,,0.4285654596100278
156,539,7,TEX,RF,Adolis García,31,100,416,375,50,80,16,0,18,53,9,3,31,109,0.213,0.279,0.4,0.679,,,,,,,,0.4745192307692308
157,551,1,TOR,1B,Vladimir Guerrero Jr.,25,103,448,399,56,120,22,0,18,62,2,1,45,71,0.301,0.373,0.491,,,,,,,,,0.5914464285714286
158,553,3,TOR,SS,Bo Bichette ,26,79,330,305,29,68,16,1,4,30,5,1,20,62,0.223,0.276,0.321,,,,,,,,,0.3816060606060606
159,555,5,TOR,LF,Davis Schneider,25,93,320,277,37,61,17,0,10,36,4,0,35,88,0.22,0.313,0.39,,,,,,,,,0.499375
160,557,7,TOR,RF,George Springer,34,97,402,357,50,81,15,1,13,40,12,0,40,72,0.227,0.307,0.384,,,,,,,,,0.483502487562189
161,558,8,TOR,DH,Justin Turner,39,88,343,295,36,74,17,0,6,31,0,2,39,60,0.251,0.347,0.369,,,,,,,,,0.4827026239067055
162,559,9,TOR,OF,Daulton Varsho,27,96,356,318,48,64,15,6,12,43,9,2,35,98,0.201,0.282,0.399,,,,,,,,,0.4973146067415731
163,569,1,WSN,1B,Joey Meneses ,32,76,313,281,19,65,11,0,3,42,2,0,21,63,0.231,0.291,0.302,0.593,,,,,,,,0.3690926517571885
164,570,2,WSN,2B,Luis García Jr.,24,90,345,329,35,92,18,1,11,50,15,3,16,55,0.28,0.313,0.441,0.754,,,,,,,,0.4873768115942029
165,571,3,WSN,SS,CJ Abrams,23,97,433,386,63,100,21,6,15,50,19,10,33,85,0.259,0.333,0.461,0.794,,,,,,,,0.5372124711316397
166,573,5,WSN,LF,Jesse Winker,30,101,379,315,51,81,18,0,11,45,14,4,53,84,0.257,0.374,0.419,0.793,,,,,,,,0.5588416886543536
167,574,6,WSN,CF,Jacob Young,24,94,330,294,53,73,14,1,1,22,24,5,20,67,0.248,0.315,0.313,0.628,,,,,,,,0.3736060606060606
